spkid	Minor Planet Center body ID	full_name	Label full_name	named after	Description named_after	instance of named after	instance of instance of	subclass of instance of	author	country	coordinate location	taxon rank	date of birth	date of death	country of citizenship	occupation	sex or gender	name	diameter	first_obs
20041488	41488	سیارک ۴۱۴۸۸																Sindbad	18.149	1993-10-10
20041573	41573	41573 Miriamrobbins	41573 Miriamrobbins															Miriamrobbins	5.267	1992-11-28
20041671	41671	41671 Benhardesty	41671 Benhardesty															Benhardesty	6.843	1991-05-08
20041742	41742	(41742) Wongkakui																Wongkakui	4.251	1994-01-04
20041795	41795	41795 Wiens	41795 Wiens															Wiens	8.439	1994-09-27
20041800	41800	41800 Robwilliams	41800 Robwilliams															Robwilliams	8.100	1998-06-25
20041907	41907	41907 Jonathanford	41907 Jonathanford															Jonathanford	3.099	1998-04-02
20041927	41927	41927 Bonal	41927 Bonal	Lydie Bonal	researcher	human	organisms known by a particular common name	mammal					1980-01-01T00:00:00Z			researcher	female	Bonal	4.893	1997-01-31
								person												
								individual animal												
								omnivore												
								natural person												
20041943	41943	41943 Fredrick	41943 Fredrick															Fredrick	4.079	1998-04-21
20041979	41979	41979 Lelumacri	41979 Lelumacri															Lelumacri	5.229	1980-02-13
20041981	41981	41981 Yaobeina	41981 Yaobeina	Yao Beina	Chinese female singer	human	organisms known by a particular common name	mammal					1981-09-26T00:00:00Z	2015-01-16T00:00:00Z	People's Republic of China	singer	female	Yaobeina	4.431	1996-11-20
								person								pianist				
								individual animal								songwriter				
								omnivore												
								natural person												
20041986	41986	41986 Fort Bend	41986 Fort Bend															Fort Bend	2.822	1995-12-19
20042073	42073	42073 Noreen	42073 Noreen															Noreen	9.480	1996-03-26
20042112	42112	42112 Hongkyumoon	42112 Hongkyumoon	Hong-Kyu Moon	Korean astronomer	human	organisms known by a particular common name	mammal					1965-01-01T00:00:00Z		South Korea	astronomer	male	Hongkyumoon	10.755	1997-02-02
								person												
								individual animal												
								omnivore												
								natural person												
20042113	42113	سیارک ۴۲۱۱۳																Jura	4.451	1993-02-22
20042175	42175	42175 Yuyang	42175 Yuyang															Yuyang	5.249	1996-03-16
20042183	42183	42183 Tubiana	42183 Tubiana	Cecilia Tubiana	researcher	human	organisms known by a particular common name	mammal					1980-01-01T00:00:00Z			researcher	female	Tubiana	5.954	1996-04-09
								person												
								individual animal												
								omnivore												
								natural person												
20042271	42271	42271 Keikokubota	42271 Keikokubota	Keiko Kubota	Japanese singer	human	organisms known by a particular common name	mammal					1985-12-05T00:00:00Z		Japan	singer	female	Keikokubota	4.242	1989-11-30
								person												
								individual animal												
								omnivore												
								natural person												
20042354	42354	سیارک ۴۲۳۵۴		Charles Poor Kindleberger	American economic historian 1910-2003	human	organisms known by a particular common name	mammal					1910-10-12T00:00:00Z	2003-07-07T00:00:00Z	United States	economist	male	Kindleberger	2.868	1998-04-23
								person								university teacher				
								individual animal												
								omnivore												
								natural person												
20042355	42355	42355 Typhon	42355 Typhon	Typhon	deadly monster of Greek mythology	Giants	group of Greek mythical characters	Greek deity									male	Typhon	192.000	1989-12-28
								giant												
								human race												
20042365	42365	42365 Caligiuri	42365 Caligiuri	Michael P. Caligiuri	researcher	human	organisms known by a particular common name	mammal					1954-01-01T00:00:00Z		United States	researcher	male	Caligiuri	4.503	1998-04-02
								person												
								individual animal												
								omnivore												
								natural person												
20042478	42478	42478 Inozemtseva	42478 Inozemtseva															Inozemtseva	4.967	1981-09-07
20042479	42479	42479 Tolik	42479 Tolik															Tolik	11.019	1981-09-28
20042566	42566	42566 Ryutaro	42566 Ryutaro															Ryutaro	2.675	1991-04-13
20042585	42585	42585 Pheidippides	42585 Pheidippides															Pheidippides	3.076	1997-03-05
20042593	42593	(42593) Antoniazzi																Antoniazzi	3.102	1993-05-20
20042697	42697	(42697) Lucapaolini		Luca Paolini	Road racing cyclist	human	organisms known by a particular common name	mammal					1977-01-17T00:00:00Z		Italy	sport cyclist	male	Lucapaolini	3.119	1998-06-01
								person												
								individual animal												
								omnivore												
								natural person												
20042733	42733	42733 Andrebaranne	42733 Andrebaranne															Andrebaranne	2.648	1992-03-01
20042747	42747	42747 Fuser	42747 Fuser															Fuser	9.927	1976-09-29
20042772	42772	42772 Kokotanekova	42772 Kokotanekova	Rosita Kokotanekova	researcher, ORCID id # 0000-0003-4617-8878	human	organisms known by a particular common name	mammal					1991-01-01T00:00:00Z			researcher	female	Kokotanekova	6.554	1998-10-14
								person												
								individual animal												
								omnivore												
								natural person												
20042775	42775	42775 Bianchini	42775 Bianchini	Francesco Bianchini	Italian philosopher, astronomer and archaeologist (1662-1729)	human	organisms known by a particular common name	mammal					1662-12-13T00:00:00Z	1729-03-02T00:00:00Z	Republic of Venice	astronomer	male	Bianchini	11.500	1986-06-12
								person								philosopher				
								individual animal								archaeologist				
								omnivore								historian				
								natural person								art historian				
20042776	42776	سیارک ۴۲۷۷۶		Casablanca	largest city of Morocco	city	classification of human settlements	city or town		Morocco	33.599166666667,-7.62							Casablanca	10.491	1998-10-14
								urban settlement												
20042795	42795	42795 Derekmuller	42795 Derekmuller	Derek Muller	Australian-born Canadian science communicator	human	organisms known by a particular common name	mammal					1982-11-09T00:00:00Z		Australia	television presenter	male	Derekmuller	3.193	1995-01-03
								person								YouTuber				
								individual animal								television producer				
								omnivore								scientist				
								natural person												
20042849	42849	42849 Podjavorinská	42849 Podjavorinská	Ľudmila Podjavorinská	Czechoslovak poet, writer and children books writer	human	organisms known by a particular common name	mammal					1872-04-26T00:00:00Z	1951-03-02T00:00:00Z	Austria-Hungary	writer	female	Podjavorinska	5.044	1994-09-09
								person							Czechoslovakia	children's writer				
								individual animal								poet				
								omnivore												
								natural person												
20042910	42910	42910 Samanthalawler	42910 Samanthalawler	Samantha Lawler	astronomer	human	organisms known by a particular common name	mammal					1982-01-01T00:00:00Z			researcher	female	Samanthalawler	4.765	1998-04-23
								person												
								individual animal												
								omnivore												
								natural person												
20042981	42981	42981 Jenniskens	42981 Jenniskens	Peter Jenniskens	Dutch astronomer	human	organisms known by a particular common name	mammal					1962-08-02T00:00:00Z		Kingdom of the Netherlands	astronomer	male	Jenniskens	2.603	1953-04-15
								person												
								individual animal												
								omnivore												
								natural person												
20042985	42985	42985 Marsset	42985 Marsset	Michael Marsset	researcher	human	organisms known by a particular common name	mammal					1989-01-01T00:00:00Z			researcher	male	Marsset	10.697	1993-09-22
								person												
								individual animal												
								omnivore												
								natural person												
20042998	42998	42998 Malinafrank	42998 Malinafrank															Malinafrank	5.864	1998-07-15
20043027	43027	43027 Minusio	43027 Minusio															Minusio	3.919	1998-06-25
20043028	43028	43028 Gnosca	43028 Gnosca															Gnosca	5.561	1978-09-27
20043081	43081	43081 Stephenschwartz	43081 Stephenschwartz															Stephenschwartz	2.212	1998-03-25
20043087	43087	43087 Castegna	43087 Castegna															Castegna	13.321	1982-10-22
20043188	43188	43188 Zouxiaoduan	43188 Zouxiaoduan															Zouxiaoduan	6.392	1998-06-20
20043193	43193	سیارک ۴۳۱۹۳		Secinaro	Italian comune	commune of Italy		third-level administrative division		Italy	42.153888888889,13.681666666667							Secinaro	6.813	1982-11-07
								administrative territorial entity of Italy												
								municipality												
20043212	43212	43212 Katosawao	43212 Katosawao	Sawao Katō	Japanese gymnast	human	organisms known by a particular common name	mammal					1946-10-11T00:00:00Z		Japan	artistic gymnast	male	Katosawao	19.212	1977-02-11
								person								professor				
								individual animal												
								omnivore												
								natural person												
20043224	43224	43224 Tonypensa	43224 Tonypensa															Tonypensa	4.036	1985-09-15
20043282	43282	43282 Dougbock	43282 Dougbock															Dougbock	2.867	1991-09-12
20043283	43283	43283 Robinbock	43283 Robinbock															Robinbock	7.334	1998-06-30
20043293	43293	(43293) Banting		Frederick Banting	Canadian medical scientist and doctor (1891-1941)	human	organisms known by a particular common name	mammal					1891-11-14T00:00:00Z	1941-02-21T00:00:00Z	Canada	physician	male	Banting	10.326	1991-12-05
								person								pharmacologist				
								individual animal								researcher				
								omnivore												
								natural person												
20043305	43305	43305 Camillebibles	43305 Camillebibles															Camillebibles	3.881	1989-10-29
20043368	43368	43368 Rodrigoleiva	43368 Rodrigoleiva	Rodrigo Leiva	Chilean astronomer	human	organisms known by a particular common name	mammal					1980-01-01T00:00:00Z		Chile	researcher	male	Rodrigoleiva	3.218	1990-11-09
								person												
								individual animal												
								omnivore												
								natural person												
20043501	43501	43501 Oldroyd	43501 Oldroyd															Oldroyd	2.088	1995-10-21
20043605	43605	43605 Gakuho	43605 Gakuho															Gakuho	3.238	1990-01-01
20043657	43657	43657 Bobmiller	43657 Bobmiller															Bobmiller	6.228	1977-10-11
20043667	43667	43667 Dumlupınar	43667 Dumlupınar															Dumlupinar	2.487	1992-10-03
20043669	43669	(43669) Winterthur		Winterthur	city in the canton of Zürich, Switzerland	municipality of Switzerland		administrative territorial entity of Switzerland		Switzerland	47.4992,8.72671							Winterthur	2.363	1982-11-14
								second-level administrative division												
								LAU 2												
						city of Switzerland		city												
								municipality of Switzerland												
						big city	classification of human settlements	city												
20043706	43706	43706 Iphiklos	43706 Iphiklos															Iphiklos	14.613	1973-09-19
20043722	43722	43722 Carloseduardo	43722 Carloseduardo															Carloseduardo	13.084	1968-07-18
20043724	43724	سیارک ۴۳۷۲۴		Max Pechstein	German artist (1881–1955)	human	organisms known by a particular common name	mammal					1881-12-31T00:00:00Z	1955-06-29T00:00:00Z	Germany	painter	male	Pechstein	2.854	1975-09-30
								person								graphic artist				
								individual animal								designer				
								omnivore								draftsperson				
								natural person												
20043763	43763	43763 Russert	43763 Russert															Russert	5.588	1987-05-30
20043768	43768	43768 Lynevans	43768 Lynevans	Lyn Evans	Welsh physicist	human	organisms known by a particular common name	mammal					1945-07-24T00:00:00Z		United Kingdom	physicist	male	Lynevans	6.321	1980-10-10
								person							Wales					
								individual animal												
								omnivore												
								natural person												
20043775	43775	سیارک ۴۳۷۷۵		Giovanni Battista Tiepolo	Italian painter (1696–1770)	human	organisms known by a particular common name	mammal					1696-03-05T00:00:00Z	1770-03-27T00:00:00Z	Republic of Venice	fresco painter	male	Tiepolo	10.840	1989-02-02
								person								printmaker				
								individual animal								architectural draftsperson				
								omnivore								painter				
								natural person								graphic artist				
																printer				
																etcher				
																visual artist				
20043783	43783	43783 Svyatitelpyotr	43783 Svyatitelpyotr	Peter of Kiyv	Ruthenian bishop and saint	human	organisms known by a particular common name	mammal					1260-01-01T00:00:00Z	1326-12-21T00:00:00Z		Eastern Orthodox priest	male	Svyatitelpyotr	8.475	1989-09-27
								person												
								individual animal												
								omnivore												
								natural person												
20043792	43792	43792 Nobutakagoto	43792 Nobutakagoto															Nobutakagoto	5.952	1989-07-07
20043793	43793	43793 Mackey	43793 Mackey															Mackey	2.897	1990-11-11
20043794	43794	43794 Yabetakemoto	43794 Yabetakemoto															Yabetakemoto	3.625	1990-12-19
20043803	43803	43803 Wakakinosakura	43803 Wakakinosakura															Wakakinosakura	6.555	1991-08-08
20043804	43804	43804 Peterting	43804 Peterting															Peterting	9.281	1991-09-10
20043806	43806	(43806) Augustepiccard		Auguste Piccard	Swiss physicist	human	organisms known by a particular common name	mammal					1884-01-28T00:00:00Z	1962-03-24T00:00:00Z	Switzerland	physicist	male	Augustepiccard	2.449	1983-07-14
								person								explorer				
								individual animal								balloonist				
								omnivore								Privatdozent				
								natural person								university teacher				
20043841	43841	43841 Marcustacitus	43841 Marcustacitus	Tacitus	Roman emperor from 275 to 276	human	organisms known by a particular common name	mammal					0200-01-01T00:00:00Z	0276-06-01T00:00:00Z	Ancient Rome	politician	male	Marcustacitus	2.598	1991-10-14
								person												
								individual animal												
								omnivore												
								natural person												
20043843	43843	(43843) Cleynaerts		Nicolas Cleynaerts	Flemish grammarian	human	organisms known by a particular common name	mammal					1493-12-05T00:00:00Z	1542-01-01T00:00:00Z	Habsburg Netherlands	lexicographer	male	Cleynaerts	5.466	1993-07-12
								person								writer				
								individual animal								orientalist				
								omnivore								grammarian				
								natural person												
20043857	43857	43857 Tanijinzan	43857 Tanijinzan	Jinzan Tani	Japanese Confucian scholar (1663-1718)	human	organisms known by a particular common name	mammal					1663-04-18T00:00:00Z	1718-07-27T00:00:00Z	Japan	Confucian scholar	male	Tanijinzan	13.236	1993-10-18
								person								神道者				
								individual animal								astronomer				
								omnivore												
								natural person												
20043859	43859	43859 Naoyayano	43859 Naoyayano															Naoyayano	9.558	1994-01-09
20043881	43881	43881 Cerreto	43881 Cerreto															Cerreto	2.073	1981-06-07
20043889	43889	43889 Osawatakaomi	43889 Osawatakaomi															Osawatakaomi	3.412	1995-08-17
20043908	43908	43908 Hiraku	43908 Hiraku															Hiraku	3.099	1991-11-06
20043923	43923	43923 Cosimonoccioli	43923 Cosimonoccioli															Cosimonoccioli	3.635	1976-06-24
20043924	43924	43924 Martoni	43924 Martoni															Martoni	2.852	1996-02-22
20043931	43931	43931 Yoshimi	43931 Yoshimi															Yoshimi	14.492	1990-08-17
20043956	43956	43956 Elidoro	43956 Elidoro															Elidoro	3.941	1997-02-04
20043957	43957	43957 Invernizzi	43957 Invernizzi															Invernizzi	3.526	1997-01-31
20043971	43971	43971 Gabzdyl	43971 Gabzdyl															Gabzdyl	3.812	1994-10-29
20043993	43993	43993 Mariola	43993 Mariola															Mariola	6.995	1997-07-26
20043998	43998	43998 Nanyoshino	43998 Nanyoshino	Yoshino River	river in Yamagata prefecture, Japan	river	ecosystem type	stream		Japan	38.023638,140.134711							Nanyoshino	13.860	1997-08-28
							type of watercourse	open water												
20044000	44000	44000 Lucka	44000 Lucka															Lucka	7.674	1997-09-01
20044001	44001	44001 Jonquet	44001 Jonquet															Jonquet	6.565	1997-09-06
20044005	44005	44005 Migliardi	44005 Migliardi															Migliardi	5.724	1997-09-07
20044011	44011	44011 Juubichi	44011 Juubichi															Juubichi	7.710	1997-10-29
20044016	44016	سیارک ۴۴۰۱۶		Jimmy Page	English guitarist (born 1944)	human	organisms known by a particular common name	mammal					1944-01-09T00:00:00Z		United Kingdom	guitarist	male	Jimmypage	9.513	1954-12-21
								person								composer				
								individual animal								songwriter				
								omnivore								record producer				
								natural person								musician				
																film actor				
																film producer				
																television producer				
																television actor				
																voice actor				
20044027	44027	44027 Termain	44027 Termain															Termain	6.433	1989-11-10
20044110	44110	44110 Cassegrain	44110 Cassegrain															Cassegrain	1.931	1998-03-29
20044117	44117	44117 Haroldlarson	44117 Haroldlarson															Haroldlarson	2.808	1998-04-21
20044167	44167	44167 Patriciaquinn	44167 Patriciaquinn															Patriciaquinn	3.499	1998-04-24
20044192	44192	44192 Paulguttman	44192 Paulguttman															Paulguttman	2.836	1998-04-28
20044206	44206	44206 Clareschneider	44206 Clareschneider															Clareschneider	3.900	1998-07-17
20044217	44217	سیارک ۴۴۲۱۷		Frank Whittle	British Royal Air Force engineer air officer	human	organisms known by a particular common name	mammal					1907-06-01T00:00:00Z	1996-08-09T00:00:00Z	United Kingdom	military flight engineer	male	Whittle	8.039	1998-07-02
								person								aircraft pilot				
								individual animal								inventor				
								omnivore								engineer				
								natural person								aerospace engineer				
20044263	44263	سیارک ۴۴۲۶۳																Nansouty	4.028	1998-08-17
20044455	44455	44455 Artdula	44455 Artdula															Artdula	2.690	1984-03-06
20044456	44456	44456 Vidal-Madjar	44456 Vidal-Madjar	Alfred Vidal-Madjar	French astrophysicist	human	organisms known by a particular common name	mammal					1942-09-13T00:00:00Z		France	astrophysicist	male	Vidal-Madjar	5.571	1998-11-10
								person								researcher				
								individual animal												
								omnivore												
								natural person												
20044473	44473	44473 Randytatum	44473 Randytatum															Randytatum	12.235	1998-11-13
20044479	44479	44479 Oláheszter	44479 Oláheszter															Olaheszter	5.889	1998-11-24
20044527	44527	44527 Tonnon	44527 Tonnon	Anthonie Tonnon	New Zealand musician	human	organisms known by a particular common name	mammal					1989-01-01T00:00:00Z		New Zealand	singer-songwriter	male	Tonnon	7.030	1998-11-24
								person												
								individual animal												
								omnivore												
								natural person												
20044530	44530	44530 Horáková	44530 Horáková															Horakova	7.051	1985-07-21
20044570	44570	44570 Yuribeletsky	44570 Yuribeletsky															Yuribeletsky	4.903	1996-08-14
20044574	44574	44574 Lavoratti	44574 Lavoratti															Lavoratti	3.845	1994-12-01
20044613	44613	سیارک ۴۴۶۱۳																Rudolf	3.775	1998-05-24
20044711	44711	カープ		Hiroshima Toyo Carp	Nippon Professional Baseball team in the Central League	baseball team		sports team		Japan								Carp	2.373	1997-11-08
								sports club												
20044821	44821	44821 Amadora	44821 Amadora															Amadora	4.851	1998-09-16
20045027	45027	45027 Cosquer	45027 Cosquer	Henri Cosquer	French professional diver	human	organisms known by a particular common name	mammal					1950-02-04T00:00:00Z		France	diver	male	Cosquer	4.770	1995-12-25
								person												
								individual animal												
								omnivore												
								natural person												
20045261	45261	45261 Decoen	45261 Decoen															Decoen	3.234	1998-06-24
20045300	45300	45300 Thewrewk	45300 Thewrewk	Aurél Ponori Thewrewk	astronomer and Esperantist (1921–2014)	human	organisms known by a particular common name	mammal					1921-05-02T00:00:00Z	2014-10-08T00:00:00Z	Hungary	astronomer	male	Thewrewk	13.230	1998-12-14
								person								Esperantist				
								individual animal												
								omnivore												
								natural person												
20045338	45338	45338 Ericevans	45338 Ericevans															Ericevans	11.499	1990-04-27
20045492	45492	45492 Sławomirbreiter	45492 Sławomirbreiter	Sławomir Breiter	Polish astronomer and physicist	human	organisms known by a particular common name	mammal					1963-12-31T00:00:00Z			astronomer	male	Slawomirbreiter	3.230	1986-12-02
								person								physicist				
								individual animal												
								omnivore												
								natural person												
20045500	45500	45500 Motegi	45500 Motegi															Motegi	7.939	1998-10-17
20045509	45509	45509 Robertward	45509 Robertward															Robertward	4.207	1991-01-21
20045510	45510	45510 Kashuba	45510 Kashuba															Kashuba	5.279	1977-10-16
20045512	45512	45512 Holcomb	45512 Holcomb															Holcomb	4.766	1998-11-14
20045517	45517	45517 Jett	45517 Jett															Jett	3.655	1997-06-30
20045519	45519	45519 Triebold	45519 Triebold															Triebold	8.083	1998-12-19
20045580	45580	45580 Renéracine	45580 Renéracine	René Racine	Canadian astronomer	human	organisms known by a particular common name	mammal					1939-01-01T00:00:00Z		Canada	astronomer	male	Reneracine	6.571	1993-09-14
								person												
								individual animal												
								omnivore												
								natural person												
20045594	45594	45594 Wendyrichard	45594 Wendyrichard	Wendy Richard	British actress (1943–2009)	human	organisms known by a particular common name	mammal					1943-07-20T00:00:00Z	2009-02-26T00:00:00Z	United Kingdom	actor	female	Wendyrichard	3.921	1996-02-21
								person								television actor				
								individual animal								film actor				
								omnivore												
								natural person												
20045595	45595	45595 Inman	45595 Inman															Inman	3.352	1995-02-25
20045596	45596	45596 Molliesugden	45596 Molliesugden															Molliesugden	4.077	1998-10-29
20045640	45640	45640 Mikepuzio	45640 Mikepuzio															Mikepuzio	4.607	1998-10-20
20045687	45687	45687 Pranverahyseni	45687 Pranverahyseni	Pranvera Hyseni		human	organisms known by a particular common name	mammal					1995-04-25T00:00:00Z				female	Pranverahyseni	13.415	1989-02-15
								person												
								individual animal												
								omnivore												
								natural person												
20045688	45688	45688 Lawrencestacey	45688 Lawrencestacey															Lawrencestacey	6.082	1998-08-23
20045689	45689	45689 Brianjones	45689 Brianjones															Brianjones	6.346	1998-10-19
20045690	45690	45690 Janiradebaugh	45690 Janiradebaugh															Janiradebaugh	4.178	1983-03-08
20045692	45692	45692 Poshyachinda	45692 Poshyachinda															Poshyachinda	4.055	1993-09-14
20045700	45700	45700 Levi-Setti	45700 Levi-Setti	Riccardo Levi-Setti	Milanian-born Emeritus professor of physics and paleontology	human	organisms known by a particular common name	mammal					1927-07-12T00:00:00Z	2018-11-08T00:00:00Z	United States	paleontologist	male	Levi-Setti	4.106	1998-08-29
								person								physicist				
								individual animal								university teacher				
								omnivore												
								natural person												
20045737	45737	45737 Benita	45737 Benita															Benita	5.121	1997-10-30
20045752	45752	45752 Venditti	45752 Venditti	Flaviane Venditti	researcher	human	organisms known by a particular common name	mammal					1980-01-01T00:00:00Z			researcher	female	Venditti	6.595	1997-10-29
								person												
								individual animal												
								omnivore												
								natural person												
20045846	45846	45846 Avdellidou	45846 Avdellidou															Avdellidou	5.200	1991-01-21
20045847	45847	45847 Gartrelle	45847 Gartrelle															Gartrelle	4.459	1996-08-10
20045855	45855	45855 Susumuyoshitomi	45855 Susumuyoshitomi															Susumuyoshitomi	3.086	1996-08-15
20045878	45878	45878 Sadaoaoki	45878 Sadaoaoki															Sadaoaoki	2.005	1951-08-13
20046053	46053	46053 Davidpatterson	46053 Davidpatterson															Davidpatterson	1.503	1996-10-11
20046076	46076	46076 Robertschottland	46076 Robertschottland															Robertschottland	6.342	1998-07-27
20046083	46083	46083 Aaronkingery	46083 Aaronkingery															Aaronkingery	7.952	1979-07-31
20046208	46208	46208 Gicquel	46208 Gicquel	Adeline Gicquel-Brodtke	researcher	human	organisms known by a particular common name	mammal					1985-01-01T00:00:00Z			researcher	female	Gicquel	6.470	1991-09-07
								person												
								individual animal												
								omnivore												
								natural person												
20046270	46270	46270 Margaretlandis	46270 Margaretlandis															Margaretlandis	7.323	1994-02-07
20046277	46277	46277 Jeffhall	46277 Jeffhall															Jeffhall	8.394	1995-04-22
20046392	46392	46392 Bertola	46392 Bertola															Bertola	2.707	1982-08-29
20046442	46442	46442 Keithtritton	46442 Keithtritton															Keithtritton	14.347	1998-12-14
20046539	46539	(46539) Viktortikhonov		Viktor Tikhonov	Soviet ice hockey coach (1930–2014)	human	organisms known by a particular common name	mammal					1930-06-04T00:00:00Z	2014-11-24T00:00:00Z	Russia	ice hockey player	male	Viktortikhonov	5.667	1982-10-24
								person							Soviet Union	ice hockey coach				
								individual animal												
								omnivore												
								natural person												
20046563	46563	46563 Oken	46563 Oken	Lorenz Oken	German naturalist (1779-1851)	human	organisms known by a particular common name	mammal					1779-08-01T00:00:00Z	1851-08-11T00:00:00Z	Grand Duchy of Baden	entomologist	male	Oken	9.009	1991-09-05
								person							Holy Roman Empire	biologist				
								individual animal							Switzerland	ornithologist				
								omnivore								naturalist				
								natural person								university teacher				
																philosopher				
																physician				
																botanist				
20046568	46568	46568 Stevenlee	46568 Stevenlee															Stevenlee	2.111	1982-05-25
20046580	46580	46580 Ryouichiirie	46580 Ryouichiirie															Ryouichiirie	4.282	1975-06-08
20046592	46592	46592 Marinawatanabe	46592 Marinawatanabe															Marinawatanabe	2.688	1992-12-16
20046610	46610	46610 Bésixdouze	46610 Bésixdouze	B612	fictional asteroid	fictional asteroid		fictional astronomical object										Besixdouze	2.064	1986-09-07
20046632	46632	46632 RISE	46632 RISE															RISE	3.100	1978-11-29
20046643	46643	46643 Yanase	46643 Yanase															Yanase	6.036	1995-05-23
20046669	46669	46669 Wangyongzhi	46669 Wangyongzhi															Wangyongzhi	8.702	1995-03-28
20046692	46692	سیارک ۴۶۶۹۲																Taormina	3.034	1997-01-11
20046719	46719	46719 Plantade	46719 Plantade															Plantade	5.726	1992-05-07
20046722	46722	سیارک ۴۶۷۲۲		Irene Adler	fictional character in the Sherlock Holmes stories	fictional human	class of fictional entities	fictional primate					1858-01-01T00:00:00Z		United States	opera singer	female	Ireneadler	5.889	1997-09-02
								fictional person												
								fictional humanoid												
								imaginary human												
						literary character	type of fictional character	character								adventurer				
						film character	type of fictional character	character												
						television character	type of fictional character	character												
20046727	46727	46727 Hidekimatsuyama	46727 Hidekimatsuyama															Hidekimatsuyama	4.801	1992-10-18
20046737	46737	46737 Anpanman	46737 Anpanman	Anpanman	Japanese media franchise	media franchise		intellectual work										Anpanman	8.070	1991-10-06
								series of creative works												
20046793	46793	46793 Phinney	46793 Phinney															Phinney	2.202	1985-08-24
20046917	46917	46917 Rogercayrel	46917 Rogercayrel															Rogercayrel	2.735	1990-10-24
20046920	46920	46920 Suzanedwards	46920 Suzanedwards															Suzanedwards	6.981	1993-07-25
20046925	46925	46925 Bradyharan	46925 Bradyharan	Brady Haran	Australian video journalist	human	organisms known by a particular common name	mammal					1976-06-18T00:00:00Z		Australia	film director	male	Bradyharan	16.091	1976-05-05
								person							United Kingdom	video journalist				
								individual animal								YouTuber				
								omnivore								journalist				
								natural person								podcaster				
																television producer				
20046977	46977	(46977) Krakow																Krakow	6.037	1984-10-29
20047005	47005	47005 Chengmaolan	47005 Chengmaolan															Chengmaolan	4.011	1993-07-19
20047040	47040	47040 Nathbrouillet	47040 Nathbrouillet															Nathbrouillet	9.845	1993-01-26
20047044	47044	47044 Mcpainter	47044 Mcpainter															Mcpainter	3.480	1960-10-17
20047045	47045	47045 Seandaniel	47045 Seandaniel															Seandaniel	4.030	1996-05-09
20047054	47054	47054 Jacquesblamont	47054 Jacquesblamont															Jacquesblamont	3.495	1998-12-07
20047069	47069	47069 Tecumseh	47069 Tecumseh															Tecumseh	6.151	1994-03-05
20047077	47077	47077 Yuji	47077 Yuji	Yuji Nakamura	Japanese engineer	human	organisms known by a particular common name	mammal					1956-01-01T00:00:00Z		Japan	engineer	male	Yuji	12.556	1991-09-13
								person								astronomer				
								individual animal												
								omnivore												
								natural person												
20047078	47078	47078 Llebaria	47078 Llebaria															Llebaria	15.838	1951-11-28
20047096	47096	47096 Canarias	47096 Canarias															Canarias	10.517	1991-09-14
20047144	47144	47144 Faulkes	47144 Faulkes															Faulkes	3.489	1998-04-21
20047164	47164	47164 Ticino	47164 Ticino															Ticino	4.779	1994-10-14
20047219	47219	47219 Heatherkoehler	47219 Heatherkoehler															Heatherkoehler	7.035	1998-09-15
20047466	47466	47466 Mayatoyoshima	47466 Mayatoyoshima															Mayatoyoshima	2.233	1995-08-25
20047619	47619	47619 Johnpursch	47619 Johnpursch															Johnpursch	3.907	1997-07-16
20047627	47627	47627 Kendomanik	47627 Kendomanik															Kendomanik	9.253	1998-12-15
20047649	47649	47649 Susanbrew	47649 Susanbrew															Susanbrew	4.713	1989-01-04
20047650	47650	47650 Tuthill	47650 Tuthill															Tuthill	5.465	1998-12-17
20047707	47707	47707 Jamieson	47707 Jamieson															Jamieson	5.647	1993-08-18
20047708	47708	47708 Jimhamilton	47708 Jimhamilton															Jimhamilton	5.649	1976-09-16
20047775	47775	47775 Johnanderson	47775 Johnanderson															Johnanderson	5.392	1997-07-06
20047835	47835	سیارک ۴۷۸۳۵																Stevecoe	4.875	1998-10-03
20047843	47843	47843 Maxson	47843 Maxson															Maxson	12.361	1992-11-27
20047851	47851	47851 Budine	47851 Budine															Budine	4.254	1994-01-14
20047862	47862	47862 Nancyramos	47862 Nancyramos															Nancyramos	6.286	1991-05-08
20047891	47891	47891 García-Migani	47891 García-Migani															Garcia-Migani	5.979	1992-12-18
20048070	48070	سیارک ۴۸۰۷۰																Zizza	9.119	1998-10-18
20048159	48159	48159 Saint-Véran	48159 Saint-Véran															Saint-Veran	3.797	1992-03-26
20048200	48200	48200 Nishiokatakashi	48200 Nishiokatakashi															Nishiokatakashi	3.480	1998-10-20
20048295	48295	48295 Liamgroah	48295 Liamgroah															Liamgroah	3.309	1994-01-11
20048300	48300	سیارک ۴۸۳۰۰		Gary W. Kronk	American amateur astronomer	human	organisms known by a particular common name	mammal					1956-03-23T00:00:00Z		United States	astronomer	male	Kronk	8.046	1991-07-11
								person								journalist				
								individual animal												
								omnivore												
								natural person												
20048373	48373	(48373) Gorgythion		Gorgythion	mythical son of Priam	mythological Greek character		mythical character									male	Gorgythion	20.267	1977-10-07
20048408	48408	48408 Yoshinogari	48408 Yoshinogari															Yoshinogari	4.173	1982-11-14
20048410	48410	48410 Kolmogorov	48410 Kolmogorov	Andrey Kolmogorov	Russian mathematician (1903–1987)	human	organisms known by a particular common name	mammal					1903-04-25T00:00:00Z	1987-10-20T00:00:00Z	Russian Empire	mathematician	male	Kolmogorov	11.488	1985-08-23
								person							Russian Socialist Federative Soviet Republic	computer scientist				
								individual animal							Soviet Union	statistician				
